Pavadinimas,Iprastine kaina,Kaina su nuolaida
"EARTH LINE Aloe Vera Rankų kremas, drėkinantis, apsaugantis, visų tipų odai, 200ml","19,95€",
LR wonder company veido serumas su asilų pienu 30 ml,"19,99€",
SEA LINE Dead Sea Treatment Mineralinis veido ir kūno losjonas 200ml,"19,99€",
EARTH LINE Argan Repair Odos aliejus 200ml,"21,95€",
Natūralus nagų stiprinimui skirtas aliejus 10ml.,"3,50€",
"Ziaja men drėkinanti raminanti dušo želė, 300 ml","3,50€",
"EARTH LINE White Tea Lift Intense 40+ Dieninis ir naktinis kremas, stangrinantis, drėkinantis, 50ml","23,99€",
"ACAPPELLA putojantis vonios burbulas, Išdykusi vyšnia, 1 vnt","4,29€",
"ACAPPELLA putojantis vonios burbulas, Saulės nubučiuoti, 1 vnt","4,29€",
"ACAPPELLA putojantis vonios burbulas, Išsipūtęs burbulas, 1 vnt","4,29€",
"Ziaja jūros dumblių dušo želė su dumbliais, 500 ml.","3,99€",
"EQUILIBRA aminorūgštys BCAA (BRANCHED-CHAIN AMINO ACIDS), 100 tablečių","29,95€",
"EQUA gertuvė ACTIVE MINT, stiklinė, 1 vnt.","23,00€",
"EQUA gertuvė MISMATCH BLOOM, stiklinė, 1 vnt.","23,00€",
"EQUA gertuvė ESPRIT PEACH TREE, stiklinė, 1 vnt.","23,00€",
"URBAN FOOD milteliai BUROKĖLIŲ MILTELIAI, 100 g","4,99€",
H DROP 5% kanapių CBD kūno aliejus JOYS OF SPRING (natūralus),"29,50€",
"EQUA termo puodelis BUTTER, nerūdijantis plienas, 1 vnt.","31,69€",
"URBAN FOOD milteliai DILGĖLIŲ MILTELIAI - EKOLOGIŠKI, 50 g","6,99€",
"MARTIDERM PHOTO-AGE HA+ veido ampulės prieš foto senėjimą su hialurono rūgštimi, 10 amp.","44,99€",
"EQUA termo gertuvė TIMELESS LATTE, nerūdijantis plienas, 1 vnt.","36,29€",
Olimp BCAA Xplode Citrinų Skonio Milteliai 500g,"38,00€",
"QUIES apsauginiai ausų kištukai iš poliuretano putos (mini), 3 poros","6,39€",
Olimp Redweiler Mėlynių Skonio 480g,"45,00€",
"URBAN FOOD milteliai ŠALTMĖTĖS LAPŲ MILTELIAI - EKOLOGIŠKI, 50 G","6,99€",
"Ziaja men 2 in 1 duo želė + šampūnas, 300 ml","3,19€",
"YOPE Natūrali regeneruojanti dušo želė, ""Kiniška arbata"", 400ml.",,
"LR wonder company lūpų balzamas ,,šokoladas"" 4,5 g","3,50€",
"ACAPPELLA putojantis vonios burbulas, Šokančios uogytės, 1 vnt","4,29€",
"QUIES apsauginiai ausų kištukai iš skaidraus silikono, 3 poros","10,55€",
MARTIS RESPECT ilgalaikiai plaukų dažai be amoniako Nr.03,"13,99€",
"FORTRANS, milteliai geriamajam tirpalui, N4 ","10,00€",
"EQUA gertuvė IRIS 600 ml, pastikinė, 1 vnt.","11,99€",
"URBAN FOOD milteliai MORKŲ MILTELIAI, 100 g","5,49€",
NOW Ekologiška Spirulina 500mg 200 Tablečių,"20,00€","16,00€"
"URBAN FOOD milteliai ŠALTALANKIŲ MILTELIAI, 100 g","6,99€",
"Vaisinė spanguolių ir žemuogių dušo želė Ziaja, 500 ml","3,99€",
"DRIU BEAUTY WISE UNISEX INTENSIVE, Galvos odos šveitiklis, 125 ml","23,99€",
"LR wonder company lūpų balzamas ,,kokosas"" 4,5 g","3,50€",
"YOPE WOOD Dušo Želė su sandalmedžiu ir pačiuliu, 400ml.","7,99€","6,79€"
"Ziaja kids šampūnas ir dušo želė sausainiai ir vaniliniai ledai, 400 ml","3,99€",
"URBAN FOOD milteliai BRUKNIŲ MILTELIAI STIKLAINĖLYJE, 80 g","9,99€",
"QUIES apsauginiai ausų kištukai iš vaško ir medvilnės, 8 poros","7,99€",
"EQUA gertuvė MISMATCH BEIGE, stiklinė, 1 vnt.","25,00€",
Natūralus kosmetinis aliejus antakiams ir blakstienoms 20 ml.,"4,99€",
"YOPE natūralus drėkinantis skystas muilas ,“Liepa”, 500ml.","9,89€","8,41€"
"DRIU BEAUTY BHA gelis, 45 ml","39,55€",
"QUIES apsauginiai ausų kištukai iš poliuretano putos, ryškių spalvų, 6 poros","9,59€",
"EQUA termo puodelis BLACK, nerūdijantis plienas, 1 vnt.","31,69€",
Natūralus augalinis šaltalankių aliejus 50 ml.,"12,50€",
"CALCIGRAN FORTE LEMON, 500 mg/800 TV, kramtomosios tabletės, N60 ","11,91€",
"RAW POWDERS KELP SU JODU, 150 mcg, 90 tablečių","9,55€",
"OPTIC TOTAL, 30 tablečių","4,21€",
"URBAN FOOD milteliai ERŠKĖTUOGIŲ MILTELIAI - EKOLOGIŠKI, 100 g","9,99€",
"BIOSIL, 60 kapsulių","36,14€","27,10€"
"Maisto papildas Proto-Col ""Collagen shots""","39,99€",
"YOPE Natūralus rankų kremas, ""Imbieras ir Sandalmedis"", 100ml.","9,89€","8,41€"
Natūralus augalinis vynuogių kauliukų aliejus 50ml.,"4,50€",
"CALCIGRAN FORTE, 500 mg/400 TV, kramtomosios tabletės, N60 ","10,24€",
"DENTOKIND, tabletės, N150 ","10,01€",
"BIOSIL, 120 kapsulių","67,23€","50,42€"
H DROP 15% kanapių CBD kūno aliejus CALM AFTER STORM (apelsininis),"68,99€",
H DROP 15% kanapių CBD kūno aliejus CALM AFTER STORM (natūralus),"68,99€",
"AFLUBIN, geriamieji lašai, tirpalas, 20 ml ","5,99€",
Natūralus kosmetinis aliejus nuo raukšlių su purkštuvu 50ml.,"4,99€",
"OPTIC SENIOR, 30 tablečių","5,26€",
"URBAN FOOD milteliai MĖLYNIŲ MILTELIAI (MIŠKO), 50 g","8,49€",
"QUIES apsauginiai ausų kištukai iš poliuretano putos, smėlio spalvos, 3 poros","6,39€",
"URAGIN, 30 tablečių","5,99€",
"LEVEREN, 30 tablečių","5,99€","4,19€"
"EQUA termo puodelis GREY, nerūdijantis plienas, 1 vnt.","31,69€",
"AFLUBIN, geriamieji lašai, tirpalas, 50 ml ","10,99€",
"TONSILOTREN, tabletės, N40 ","7,64€",
"MASTODYNON, tabletės, N60 ","10,77€",
"OPTIC BIOLUTEINA 25, 30 tablečių","6,53€",
"PANER, 30 tablečių","6,99€",
"TANTUM VERDE, 3 mg, kietosios pastilės, N20 ","7,13€",
"TANTUM VERDE FORTE, 3 mg/ml, burnos gleivinės purškalas (tirpalas), 15 ml","7,99€",
"ECOSH Eyevision, 90 kapsulių","36,99€",
"LACTACYD CARING GLIDE, intymios zonos lubrikantas, 50 ml","8,99€",
"AFLUBIN, tabletės, N48","7,78€",
"CALCIGRAN, 500 mg/200 TV, kramtomosios tabletės, N30 ","4,86€",
"COSINUS, 30 tablečių","5,99€","4,19€"
"PANTOGAR, šampūnas moterims, 200ml","19,66€",
"MODUS DREAM MELATONIN, 30 tablečių","5,99€",
"INFLUCID, tabletės, N40 ","7,64€",
"ZINC, 60 tablečių","3,49€","2,44€"
"COSINUS SINUSES AND NOSE, purškalas, 60 ml ","5,99€","4,19€"
"SERMATROP ALFA, 30 plėvele dengtų tablečių","53,59€","45,55€"
"IMMUNOKIND, 150 tablečių ","10,01€",
"VITIRON KIDS IMMUNITY, 50 guminukų vaikams","14,49€",
"ROYAL GREEN BIO MINI CAPS MULTI, multivitaminai nuo 4 metų, 90 kapsulių","31,50€",
"ROYAL GREEN BIO Medus su šeivamedžiu ir erškėtuogėm, 250g","6,59€",
"APIPOL svilarožių šaknų sirupas su medumi ir propolio ekstraktu, 100ml","7,50€","6,75€"
"APIPOL propolio lašai inhaliacijoms, 20ml","7,99€","7,19€"
"APIPOL Baby propolio lašai, 20ml","9,49€","8,54€"
"IMMUNOX POWER 300, milteliai, 14 pakelių","7,56€",
"APITUSIK medaus sirupas nuo kosulio su čiobreliais ir propoliu, 100ml","7,99€","7,19€"
"IMMIFLEX Complete imunitetui, N30","22,99€","19,54€"
ROYAL GREEN BIO Bičių žiedadulkės 120g,"12,89€","10,96€"
"DOPPELHERZ AKTIV A-Z + IMMUN DIRECT, 20 pakelių","10,96€",
"VITIRON KIDS SPORTS FOR ENERGY, guminukai vaikams, 50 guminukų","14,99€",
D-LAB Kapsulės maisto papildai imuninei sistemai 56 vnt.,"24,99€",
Smartsleep IMMUNE 7 vnt.,"18,99€","18,04€"
Smartsleep IMMUNE 28 vnt.,"64,99€","61,74€"
"OTOSAN IMMUNIX3, 40 kramtomųjų tablečių","15,99€",
"RAW POWDERS SELENAS, 200 mcg, 60 kapsulių","8,55€","6,84€"
"ŠVF/AC, OYSTER, maisto papildas, N60","20,99€","15,74€"
"ŠVF/AC, REISHI, maisto papildas, N60","20,99€","15,74€"
"SWANSON, Super multivitaminų ir mineralų kompleksas, kapsulės, N130","19,49€",
"SAPIENS, Pau D’Arco kompleksas PRO, 90 tablečių","10,99€",
"Propolio tinktūra, 25ml ","4,49€","3,82€"
"BEROCCA IMMUNITY, šnypščiosios tabletės, N30","19,60€","17,64€"
"MOLEKIN IMUNO KIDS, vaikams 4-6 metų šnypšiančios tabletės,N20 ","7,99€","4,79€"
"MOLEKIN IMUNO JUNIOR, vaikams 7-12 metų šnypšiančios tabletės, N20 ","7,99€","4,79€"
"SMARTHIT IV LACTOFERRIN, 100 ml ","24,59€","17,21€"
"FRANK FRUITIES BOOST IMMUNITY, maisto papildas imunitetui, guminukai, N80","24,45€","22,00€"
"FRANK FRUITIES KID‘S MULTI, maisto papildai vaikams nuo 4 metų, guminukai, N60","24,45€",
" IMMUNECO, kapsulės, N30","10,79€",
"BACK TO LIFE, milteliai geriamajam tirpalui, N14","19,99€",
"FJORD STRONG OMEGA-3 SMART GUMMIES, žuvų taukai, 45 guminukai","18,99€",
"VIRIDIAN VIRIDIKID VITAMIN C DROPS, skystas vitaminas C, 50 ml","22,99€","17,24€"
"VIRIDIAN THYROID COMPLEX, 60 kapsulių",,
"WALMARK IMMUNITY BETA-GLUCAN COMPLEX, 30 tablečių","9,99€",
"ŠVF PERŠALIMO SEZONUI, vaikams, milteliai karštam gėrimui, N10","8,99€",
"VITA-LAB VITAMINAI AKIMS SU LIUTEINU, 90 tablečių","12,99€","9,09€"
"VITA-LAB MULTIVITAMINAS, 12 komponentų, 90 tablečių","8,99€","6,29€"
"ECOSH YOUNG & SMART, 90 kapsulių","24,99€",
"ECOSH KVERCETINAS SU VITAMINO C KOMPLEKSU, 40 kapsulių","23,99€","22,79€"
"GAMTOS NAMAI BETA GLIUKANŲ IR VITAMINŲ KOMPLEKSAS, 90 tablečių ","29,99€","17,99€"
"GAMTOS NAMAI MULTIVIT 100%, 120 kapsulių","32,99€","19,79€"
"GAMTOS NAMAI VITAMINAS C PROLONG, 90 tablečių ","19,99€","11,99€"
"ACORUS BALANCE VITAMINUKAI, vitaminai šiaudeliuose su cinku miško uogų skonio, 6g, N7","3,53€","2,82€"
"ACORUS BALANCE VITAMINUKAI, vitaminai šiaudeliuose su cinku aviečių skonio, 6g, N7","3,53€","2,82€"
"ACORUS BALANCE VITAMINUKAI, vitaminai šiaudeliuose su cinku apelsinų skonio, 6g, N7","3,53€","2,82€"
"ACORUS BALANCE VITAMINUKAI, vitaminai šiaudeliuose su cinku obuolių skonio, 6g, N7","3,53€","2,82€"
"GAMTOS NAMAI VITAMINAS C PROLONG 1000 PREMIUM, 30 tablečių","8,49€","5,09€"
"Rutinas 60 mg LIFEPLAN, grynas rutinas, 300 tablečių","19,99€",
"Maisto papildas „Hair Care Panda Vitaminai šeimai“, 300 g, 60 guminukų","27,49€",
"VITADAY VITAMINAI GROŽIUI, 60 tablečių","5,98€","4,19€"
"MARSIEČIAI GUMINUKAI, su šaltalankiu, 50 guminukų","13,99€",
"MOLLER’S FOR TEENS, 28 tabletės ir 28 kapsulės","16,89€",
"RAUDONI SKRUOSTUKAI, 30 kramtomų tablečių","11,99€",
"SVEIKAS KAIP RIDIKAS, 20 kramtomų tablečių","11,99€",
"LIFEPLAN SELENIUM BONUS, selenas su chromu ir vitaminais, 30 tablečių","7,05€",
"LIFEPLAN SIBERIAN GINSENG, eleuterokokų ekstraktas su vitaminais , 60 kapsulių","13,79€",
"LIFEPLAN EMPEROR GINSENG, kininis ženšenis su vitaminais, 60 kapsulių","16,55€",
"BIG PACK, tepalas su A + E vitaminais, maitinamasis, 60 g","5,25€",
"AMEDIPLUS vazelino kremas su vitaminais A ir E, 50 g","2,29€",
"Victoria Beauty kremas-koncentratas su sraigių sekretu ir vitaminais (B5, C, E), 50 ml","15,49€",
"VICHY DERMABLEND 3D, koreguojamasis makiažo pagrindas, SPF25, Nr.15, 30 ml","28,99€",
"VICHY DERMABLEND 3D, koreguojamasis makiažo pagrindas, SPF25, Nr.35, 30 ml","28,99€",
"MICROLIFE AD-1024C, kraujospūdžio aparato adapteris","11,99€",
"DALACIN C, 300 mg, kietosios kapsulės, N16 ","8,32€",
"STREPSILS VITAMIN C, 1,2 mg/0,6 mg/100 mg, kietosios pastilės, N24 ","6,92€",
"LIFEPLAN EYE C, kompleksas akims, 60 kapsulių","18,16€",
"LORINDEN C, 0,2/30 mg/g, tepalas, 15 g ","3,61€",
"DR. SCHEFFLER VITAMINAS C ZITRONE, 20 šnypščiųjų tablečių","5,49€",
"DR. SCHEFFLER ADDITIVA VITAMINAS C BLUTORANGE, 20 šnypščiųjų tablečių","5,49€",
"LIFEPLAN HAIR CARE, vitaminų kompleksas plaukams, 60 tablečių","11,95€",
"MARTIDERM SKIN COMPLEX, veido ampulės su vitaminų ir antioksidantų kompleksu, 10 amp.","48,99€",
"OMRON C101, inhaliatorius, N1","67,32€",
"LIFEPLAN NIACINAS (VIT. B3) 250 mg, 90 tablečių","13,29€","10,63€"
"JOWAÉ Vitamin-Rich, tonizuojantis drėkinamasis paakių gelis su kinkanų ekstraktu, 15 ml","19,30€",
"NOVEXPERT veido kaukė/šveitiklis su vitaminu C, 50ml","27,99€",
"NOVEXPERT šveičiamasis naktinis veido kremas su vitaminu C ir glikolio bei pieno rūgštimis, 40 ml","43,99€",
"NOVEXPERT stangrinamasis paakių kremas su vitaminu C (pirmosioms mimikos raukšlėms), 15 ml","39,99€",
"NOVEXPERT veido serumas su vitaminu C stipriai koncentruotas, 30 ml","54,85€",
"INOCEL, sterilus, minkštas neaustinio pluošto tvarstis, 21 cm x 21 cm, 10 vnt.","203,33€",
"CANPOL BABIES LUX, liemenėlė maitinančioms, 80D dydis, 26/764","12,91€",
"DOPPELHERZ AKTIV ENERGIE PLUS DIRECT KOFFEIN + TAURIN + B-VITAMINE, 20 paketėlių","8,99€",
"TANNING MOUSSE CLEAR – SAVAIMINIO ĮDEGIO PUTOS-VANDUO, SKAIDRIOS, 200 ML MEDIUM","40,99€","30,74€"
"TANNING MOUSSE CLEAR – SAVAIMINIO ĮDEGIO PUTOS-VANDUO, SKAIDRIOS, 200 ML DARK","40,99€","30,74€"
"PLACENTA VITAE, ŠAMPŪNAS NUO GELTONŲ ATSPALVIŲ, 250 ml","12,19€",
"PLACENTA VITAE, REGENERUOJANTI KAUKĖ NUO PLAUKŲ SLINKIMO, 250 ML","12,89€",
"PLACENTA VITAE, MAITINAMASIS PLAUKŲ SERUMAS, 50 ml","12,19€",
"DENTISSIMO VEGAN AND VITAMIN B12, dantų pasta, 75 ml","14,10€",
"SKINGAIN™ original hidrolizuotas I ir II tipo kolagenas su vitaminu C, 30 pak.","41,99€","35,69€"
"LIFEPLAN VITAMINAS B1 100 mg, tabletės N90","11,99€",
"LR wonder company micelinis vanduo su viatminu C, hialurono rūgštimi, ramunėlių vandeniu .200 ml","16,49€",
"LR wonder company veido prausiklis su hialurono rūgštimi, vitaminu C, rugiagėliu vandeniu, 200 ml","16,49€",
"LR wonder company veido tonikas su hialurono rūgštimi, vitaminu C, kivių vandeniu. 200 ml","13,99€",
"ACCARE FS20C, pulsoksimetras","36,48€",
"ACORUS BALANCE ENERGY + MAGNIS/VITAMINAS C, užkandis, 9 g, 5 vnt.","1,69€",
"Helen Seward Synebi plaukams blizgesio suteikiantis šampūnas, dažnam plovimui su arganų aliejumi ir Vit E, 300ml","12,99€",
"Helen Seward Synebi plaukams blizgesio suteikianti kaukė dažnam plovimui su arganų aliejumi ir Vit E, 200ml","15,99€",
"Dr. Brandt, Veido serumas su Vitaminu C Dr. Brandt C Scription. 1.058 fl. oz. / 30 ml","124,99€",
"INSTITUT ESTHEDERM PARIS INTENSIVE VITAMIN E, veido serumas su vitaminu E, 30 ml","94,00€","70,50€"
"LIERAC MESOLIFT C15, koncentratas, 15 ml, 2 vnt.","68,99€","41,39€"
"Ziaja Med stangrinamasis dieninis veido kremas su vitaminu C, 50 ml","6,99€",
"OMRON C102 TOTAL 2IN1, inhaliatorius su nosies plovykle, kompresorinis","75,02€",
"YOPE Veido serumas su žaliosiomis slyvomis ir Ultra vitaminu C, 30ml.","32,19€","27,36€"
"OPTIPLASTE C, elastinis prilimpantis pleistras, 6 cm x 2,5 m, Beige spalvos","10,95€",
"EARTH LINE Vitamin E Veido valiklis, visų tipų odai, 200ml","16,95€",
"EARTH LINE Vitamin E Veido losjonas, visų tipų odai, 200ml","16,95€",
"EARTH LINE Vitamin E Veido šveitiklis, visų tipų odai, 100ml","16,95€",
"EARTH LINE Vitamin E Dieninis ir naktinis kremas visų tipų odai, 100ml","27,95€",
"EARTH LINE Vitamin E Dieninis ir naktinis kremas visų tipų odai, 50 ml","18,95€",
"EARTH LINE Vitamin E Paakių kremas, visų tipų odai, 35ml","19,95€",
"EARTH LINE Vitamin E Randų ir strijų aliejus visų tipų odai, 30ml","16,95€",
"EARTH LINE Vitamin E Vonios ir dušo žele visų tipų odai, 200ml","16,95€",
"EARTH LINE Vitamin E Balansuojamasis šampūnas visų tipų plaukams, 200ml","16,95€",
"EARTH LINE Multi Vitamin Atkuriamasis plaukų kremas, nenuplaunamas, visų tipų plaukams, 100ml","14,95€",
Baboo elektrinis pientraukis su 3D pieno nutraukimo technologija,"99,99€",
EARTH LINE Vitamin E Sunless Tanner Savaiminio įdegio kremas 100ml,"19,95€",
"VITADAY MULTIVITAMINŲ KOMPLEKSAS, 60 tablečių","12,48€",
Tušas blak. Golden Rose 3D Fantastic Lash 10g,"7,49€",
"Veido šveitiklis ""Bye bye blemish"" su vitaminu C, 120 ml","12,49€",
"LA ROCHE-POSAY PUREVITAMIN C 10, serumas veidui, 30 ml","38,70€","30,96€"
"PHARMACERIS W ALBUCIN C, skaistinamasis serumas, 30ml","27,99€","20,99€"
Miegui gerinti PhD Life Reset Powder Juodo Šokolado Skonio 350g,"16,00€",
Golden Rose Miss Beauty Diamond Shine 3d Lūpų blizgesys Nr. 01,"6,50€","4,88€"
Golden Rose Miss Beauty Diamond Shine 3d Lūpų blizgesys Nr. 02,"6,50€","4,88€"
Golden Rose Miss Beauty Diamond Shine 3d Lūpų blizgesys Nr. 03,"6,50€","4,88€"
D-LAB kapsulės gryno keratino nagams ir plaukams 28 kapsulės,"41,99€",
"D-LAB Kapsulės, maisto papildas streso malšinimui 56 vnt.","28,99€",
"D-LAB Kapsulės, Maisto papildas prieš odos senėjimą 28 kapsulės",,
"D-LAB Kapsulės, maisto papildas odos detoksikacijai 56 vnt.","26,99€",
"D-LAB Maisto papildų kompleksas, subalansuotai mitybai, Rinkinys.","93,99€",
"GARNIER VITAMIN C, ampulė-lakštinė kaukė nuo nuovargio požymių, 15 g","3,19€",
"L'Oreal D/E REVITALIFT FILLER [HA], dieninis veido kremas, 50ml","25,99€","16,89€"
"L'Oreal D/E REVITALIFT FILLER [HA], akių kremas, 15ml","25,99€",
"L'Oreal D/E REVITALIFT LASER, dieninis veido kremas su SPF 20, 50ml","25,99€","16,89€"
"L'OREAL D/E REVITALIFT FILLER [HA], naktinis veido kremas, 50 ml","25,99€","16,89€"
"L'Oreal D/E REVITALIFT LASER, naktinis veido kremas, 50ml","25,99€","16,89€"
"ELGON I CARE, dažantis kondicionierius, C/55 Deep Red, intensyvi raudona spalva, 200 ml","13,99€","10,49€"
"ELGON I CARE, dažantis kondicionierius, C/111 See Blue, juros mėlyna spalva, 200 ml","13,99€","10,49€"
"ELGON I CARE, dažantis kondicionierius, C/991 Mineral Green, žalia mineralų spalva, 200 ml","13,99€","10,49€"
"ELGON I CARE, dažantis kondicionierius, C/56 Ruby Red, rubino (bordo) spalva, 200 ml","13,99€","10,49€"
"ELGON I CARE, dažantis kondicionierius, C/3 Extra Light Gold, šviesaus aukso spalvos, 200 ml","13,99€","10,49€"
"PRIMA, C-Reaktyvinio baltymo nustatymo testas, N1","13,99€",
"VITADAY ŠALTALANKŲ ALIEJUS, 100 ml","9,98€",
"ELGON I CARE, dažantis kondicionierius, C/34 Copper Golden, auksinė vario spalva, 200 ml","13,99€","10,49€"
"ELGON I CARE, dažantis kondicionierius, C/6 Mahogany, rusvai raudona spalva, 200 ml","13,99€","10,49€"
"ELGON LINK-D BOND KEEPER Nr. 3, profesionali plaukų atkūrimo ir stiprinimo priemonė visų tipų plaukams, 100 ml","13,00€","9,75€"
"ELGON LINK-D BOND SEALER NR. 4, apsauginis serumas plaukams, 50 ml","13,00€","9,75€"
"ISDIN FLAVO-C, odą skaistinančios ampulės su vitaminu C ir ultraglikanais , 2 ml x 10 vnt.","29,40€","20,58€"
"VICHY LIFTACTIV SUPREME VITAMIN C, serumas, 20 ml","48,45€",
Cellucor C4 Original 195g Braškių Skonio,"30,00€",
Cellucor C4 Original 195g Mėlynųjų Aviečių Skonio,"30,00€",
Cellucor C4 Original 195g Vyšnių Limonado Skonio,"30,00€",
Cellucor C4 Original 195g Rausvo Limonado Skonio,"30,00€",
Cellucor C4 Original 195g Apelsinų Skonio,"30,00€",
Cellucor C4 Original 195g Obuolių Skonio,"30,00€",
Cellucor C4 Original 390g Obuolių Skonio,"46,00€",
Cellucor C4 Original 390g Braškių Skonio,"46,00€",
Cellucor C4 Original 390g Arbūzų Skonio,"46,00€",
Cellucor C4 Original 390g Vaisių Punšo Skonio,"46,00€",
Cellucor C4 Original 390g Mėlynųjų Aviečių Skonio,"46,00€",
Cellucor C4 Original 390g Vyšnių Limonado Skonio,"46,00€",
Cellucor C4 Original 390g Rausvo Limonado Skonio,"46,00€",
Cellucor C4 Original 390g Apelsinų Skonio,"46,00€",
"PRIMA VITAMIN D TEST, Vitamino D trūkumo testas (kraujyje), N1","16,95€",
"DALACIN C, 300 mg, kietosios kapsulės, (l.imp.), N16","8,19€",
"D-CURE, 25 000TV, geriamasis tirpalas, (l.imp), N12","16,85€",
"BIONIKE TRIDERM D.S., intensyvaus poveikio šampūnas, seborėjinio dermatito paveiktai galvos odai, 125ml","16,99€","13,59€"
Proto-col „Vitamin D3“,"6,89€",
"JUTAVIT KOLAGENO + HIALURONO KOMPLEKSAS BRAŠKĖ, 400g ","28,99€",
"STREPHERBALTM HONEY FLAVOUR & LEMON BALM MAISTO PAPILDAS SU SALDIKLIAIS, PROPOLIS SU VITAMINU C IR CINKU IMUNITETO STIPRINIMUI, 24 pastilės.","7,49€","5,24€"
"CLINIC WAY, veidą stangrinanti kaukė su lipidais ir vitaminu E, 50ml","33,99€",
"L'OREAL D/E REVITALIFT LASER, serumas, 30 ml","25,99€","16,89€"
"GARNIER VITAMIN C, valomasis gelis su vitaminu C","6,99€",
"GARNIER VITAMIN C, drėkinantis gelis su vitaminu C","6,99€",
"L'OREAL TRUE MATCH, 2R2C2K Vanille Ros, skysta pudra","19,99€","12,99€"
"L'OREAL TRUE MATCH, 7D7W Ambre Dore/Go, skysta pudra","19,99€","12,99€"
"PHARMACERIS V,VITI MELO DAY, apsauginis kremas, SPF50, 75ml","19,50€","14,62€"
"PHARMACERIS V,VITI MELO NIGHT, naktinis kremas, 40ml","19,50€","14,62€"
"SESDERMA C-VIT, paakių kontūro kremas, 15ml","24,99€",
"SESDERMA C-VIT, liposominis serumas, 30ml","40,99€",
"SESDERMA C-VIT, švytėjimo suteikiantis fluidas, 50ml","40,99€",
"SESDERMA C-VIT, intensyvaus serumo ampulės, 1,5ml, N10","24,99€",
"SEPTONA, drėgnos servetėlės makiažui valyti su vitaminu C ir miceline technologija, 20 vnt","2,69€",
SAVAIMINIO ĮDEGIO SERUMAS SU VITAMINU C IR HIALURONU 30ml,"49,99€","37,49€"
"VITAMIN B12-LOGES, 1000 mikrogramų/2 ml, injekcinis tirpalas, N10","16,85€",
"DANGIŠKAS SAVAIMINIO ĮDEGIO ELIKSYRAS BALTA TEKSTŪRA MEDIUM, 150 ML","49,99€","37,49€"
"MEDB Vitamin C 24H Protect Sun apsauginis kremas nuo saulės, SPF50, 70ml","16,90€",
"TESTERA VITAMIN D TEST, greitasis testas, vitamino D, N1","7,65€",
"VIRIDIAN HIGH POTENCY VITAMIN B3, 30 kapsulių","13,49€","10,12€"
"ELGON LINK-D BOND NOURISHING DRY OIL N. 5, nenuplaunamas sausas aliejus plaukams, 30 ml","19,99€","14,99€"
"VITA-LAB MELATONINAS, 1 mg, 90 tablečių","7,99€","5,59€"
"VITA-LAB BIOTINAS, 10000 µg, 90 tablečių","9,99€","6,99€"
"VITA-LAB MAGNIS + B6 + CHROMAS, 90 tablečių","8,99€","6,29€"
"VITA-LAB GUDOBELĖ 600 SU MAGNIU, 90 tablečių","8,99€","6,29€"
"VITA-LAB GLIUKOZAMINAS 1500, CHONDROITINAS IR MSM, 90 tablečių","8,99€","6,29€"
"VITA-LAB MELATONINAS, 2 mg, 90 tablečių","9,99€","6,99€"
"ECOSH CINKAS SU VITAMINU C, skystas, 100 ml","21,99€","20,89€"
"UNIKALK CALCIUM CITRATE COMPLEX, su vitaminu D, 90 tablečių","19,99€",
"UNIKALK CALCIUM FORTE, su vitaminu D, citrinų skonio, 90 tablečių","15,99€",
"MIXA NIACINAMIDE GLOW, spindesio suteikiantis drėkinamasis kremas su niacinamidu ir vitaminu C, 50 ml","11,99€",
„Timeless™“ VITAMIN B5 serumas. Skirtas pamaitinti ir nuraminti probleminę bei dehidratuotą odą.,"34,85€","20,91€"
"„Timeless™“ HIALURONO RŪGŠTIS + VITAMINO C serumas. Šviesina, skaistina ir lygina odą.","34,85€","20,91€"
"MAGNIS + VITAMINAS B6, 50 tablečių","8,99€",
"ECOSH, bioaktyvus magnis su vitaminu B6, 90 kapsulių","23,52€",
"ISDIN ISDINCEUTICS FLAVO-C FORTE, skaistinamasis veido serumas su vitaminu C 15 %, 3 ml x 3vnt","72,99€",
"VITADAY KOMPLEKSAS AKIMS, 30 kapsulių","5,48€","3,84€"
"NOUGHTY Back To Balance šampūnas riebiai galvos odai su arbatmedžiu ir vitaminu B5, 250ml","9,99€",
"5C Cure lakštinė veido kaukė su braškių ekstraktu, 1vnt","2,29€",
"5C Cure lakštinė veido kaukė su bananų ekstraktu, 1vnt","2,29€",
"5C Cure lakštinė veido kaukė su kokosų ekstraktu, 1vnt","2,29€",
"5C Cure lakštinė veido kaukė su avokadų ekstraktu, 1vnt","2,29€",
"5C Cure lakštinė veido kaukė su mėlynių ekstraktu, 1vnt","2,29€",
"5C Cure lakštinė veido kaukė su mangų ekstraktu, 1vnt","2,29€",
DVIPUSĖ PIRŠTINĖ ĮDEGIUI PASKIRSTYTI 1 VNT.,"8,59€","6,44€"
"SWANSON KORALŲ KALCIS, su vitaminu D3 ir magniu, 90 kapsulių","13,99€",
"VITADAY CHOLESTEROLIUI MAŽINTI SU ČESNAKU, 30 kapsulių","8,98€",
"SESDERMA C-VIT 5, liposominis veido serumas, 30 ml","67,99€",
"Kūno balzamas Ziaja Vitamin C.B3 Niacinamide, 200 ml","9,99€",
"Serumas Ziaja Vitamin C.B3 Niacinamide, 30 ml","8,99€",
"Veido šveitiklis Ziaja Vitamin C.B3 Niacinamide, 100 ml","8,99€",
"Valomasis veido gelis Ziaja Vitamin C.B3 Niacinamide, 190 ml","8,99€",
