Kompanija,Vaistu pavadinimas,Kiekis,Iprastine kaina,Kaina su nuolaida
EQUA,"gertuvė IRIS 600 ml, pastikinė,",1,"11,99€",
URBAN,"FOOD milteliai MORKŲ MILTELIAI,",100,"5,49€",
NOW Ekologiška,Ekologiška Spirulina 500mg,200,"20,00€",
URBAN,"FOOD milteliai ŠALTALANKIŲ MILTELIAI,",100,"6,99€",
Vaisinė,"spanguolių ir žemuogių dušo želė Ziaja,",500,"3,99€",
DRIU,"BEAUTY WISE UNISEX INTENSIVE, Galvos odos šveitiklis,",125,"23,99€",
LR wonder,"wonder company lūpų balzamas ,,kokosas"" 4,",5,"3,50€",
YOPE,"WOOD Dušo Želė su sandalmedžiu ir pačiuliu,",400,"7,99€",
YOPE,"Natūrali dušo želė “Žiemos Uogos”,",400,"7,99€",
Ziaja,"kids šampūnas ir dušo želė sausainiai ir vaniliniai ledai,",400,"3,99€",
URBAN,"FOOD milteliai BRUKNIŲ MILTELIAI STIKLAINĖLYJE,",80,"9,99€",
QUIES,"apsauginiai ausų kištukai iš vaško ir medvilnės,",8,"7,99€",
EQUA,"gertuvė MISMATCH BEIGE, stiklinė,",1,"25,00€",
Natūralus,kosmetinis aliejus antakiams ir blakstienoms,20,"4,99€","8,41€"
YOPE,"natūralus drėkinantis skystas muilas ,“Liepa”,",500,"9,89€","27,10€"
DRIU,"BEAUTY BHA gelis,",45,"39,55€","8,41€"
QUIES,"apsauginiai ausų kištukai iš poliuretano putos, ryškių spalvų,",6,"9,59€","50,42€"
EQUA,"termo puodelis BLACK, nerūdijantis plienas,",1,"31,69€",
Natūralus,augalinis šaltalankių aliejus,50,"12,50€",
CALCIGRAN,"FORTE LEMON, 500 mg/800 TV, kramtomosios tabletės, N",60,"11,91€",
RAW POWDERS,"POWDERS KELP SU JODU, 150 mcg,",90,"9,55€",
NEUREXAN ,"tabletės, N",50,"7,49€",
OPTIC,"TOTAL,",30,"4,21€",
URBAN,"FOOD milteliai ERŠKĖTUOGIŲ MILTELIAI - EKOLOGIŠKI,",100,"9,99€",
BIOSIL ,,60,"36,14€",
Maisto,"papildas Proto-Col ""Collagen shots""",0,"39,99€",
YOPE,"Natūralus rankų kremas, ""Imbieras ir Sandalmedis"",",100,"9,89€",
Natūralus,augalinis vynuogių kauliukų aliejus,50,"4,50€",
CALCIGRAN,"FORTE, 500 mg/400 TV, kramtomosios tabletės, N",60,"10,24€",
DENTOKIND ,"tabletės, N",150,"10,01€",
BIOSIL ,,120,"67,23€",
H DROP,DROP,15,"68,99€",
H DROP,DROP,15,"68,99€",
FRIENDLY,"SOAP natūralus rankų darbo veido muilas su sviestmedžiu „Shea Butter"",",95,"4,59€",
AFLUBIN ,"geriamieji lašai, tirpalas,",20,"5,99€",
Natūralus,kosmetinis aliejus nuo raukšlių su purkštuvu,50,"4,99€",
OPTIC,"SENIOR,",30,"5,26€",
URBAN,"FOOD milteliai MĖLYNIŲ MILTELIAI (MIŠKO),",50,"8,49€","4,19€"
QUIES,"apsauginiai ausų kištukai iš poliuretano putos, smėlio spalvos,",3,"6,39€","4,19€"
URAGIN ,,30,"5,99€","2,44€"
LEVEREN ,,30,"5,99€","4,19€"
EQUA,"termo puodelis GREY, nerūdijantis plienas,",1,"31,69€","45,55€"
AFLUBIN ,"geriamieji lašai, tirpalas,",50,"10,99€",
TONSILOTREN ,"tabletės, N",40,"7,64€",
MASTODYNON ,"tabletės, N",60,"10,77€",
OPTIC,"BIOLUTEINA 25,",30,"6,53€",
PANER ,,30,"6,99€",
TANTUM,"VERDE, 3 mg, kietosios pastilės, N",20,"7,13€",
TANTUM,"VERDE FORTE, 3 mg/ml, burnos gleivinės purškalas (tirpalas),",15,"7,99€",
ECOSH,"Eyevision,",90,"36,99€",
LACTACYD,"CARING GLIDE, intymios zonos lubrikantas,",50,"8,99€",
AFLUBIN ,"tabletės, N",48,"7,78€",
CALCIGRAN ,"500 mg/200 TV, kramtomosios tabletės, N",30,"4,86€",
COSINUS ,,30,"5,99€",
PANTOGAR ,"šampūnas moterims,",200,"19,66€",
MODUS,"DREAM MELATONIN,",30,"5,99€",
INFLUCID ,"tabletės, N",40,"7,64€",
ZINC ,,60,"3,49€",
COSINUS,"SINUSES AND NOSE, purškalas,",60,"5,99€",
SERMATROP,"ALFA,",30,"53,59€",
IMMUNOKIND ,,150,"10,01€",
VITIRON,"KIDS IMMUNITY,",50,"14,49€","6,75€"
ROYAL,"GREEN BIO MINI CAPS MULTI, multivitaminai nuo 4 metų,",90,"31,50€","7,19€"
ROYAL,"GREEN BIO Medus su šeivamedžiu ir erškėtuogėm,",250,"6,59€","8,54€"
APIPOL,"svilarožių šaknų sirupas su medumi ir propolio ekstraktu,",100,"7,50€","7,19€"
APIPOL,"propolio lašai inhaliacijoms,",20,"7,99€","19,54€"
APIPOL,"Baby propolio lašai,",20,"9,49€","10,96€"
IMMUNOX,"POWER 300, milteliai,",14,"7,56€","18,04€"
APITUSIK,"medaus sirupas nuo kosulio su čiobreliais ir propoliu,",100,"7,99€","61,74€"
IMMIFLEX,"Complete imunitetui, N",30,"22,99€","6,84€"
ROYAL,GREEN BIO Bičių žiedadulkės,120,"12,89€","15,74€"
DOPPELHERZ,"AKTIV A-Z + IMMUN DIRECT,",20,"10,96€","15,74€"
VITIRON,"KIDS SPORTS FOR ENERGY, guminukai vaikams,",50,"14,99€","3,82€"
D-LAB,Kapsulės maisto papildai imuninei sistemai,56,"24,99€","17,64€"
Smartsleep,IMMUNE,7,"18,99€","4,79€"
Smartsleep,IMMUNE,28,"64,99€",
OTOSAN,"IMMUNIX3,",40,"15,99€",
RAW POWDERS,"POWDERS SELENAS, 200 mcg,",60,"8,55€",
ŠVF/AC ,"OYSTER, maisto papildas, N",60,"20,99€",
ŠVF/AC ,"REISHI, maisto papildas, N",60,"20,99€",
SWANSON ,"Super multivitaminų ir mineralų kompleksas, kapsulės, N",130,"19,49€",
SAPIENS ,"Pau D’Arco kompleksas PRO,",90,"10,99€",
Propolio,"tinktūra,",25,"4,49€",
BEROCCA,"IMMUNITY, šnypščiosios tabletės, N",30,"19,60€",
MOLEKIN,"IMUNO KIDS, vaikams 4-6 metų šnypšiančios tabletės,N",20,"7,99€",
MOLEKIN,"IMUNO JUNIOR, vaikams 7-12 metų šnypšiančios tabletės, N",20,"7,99€","4,79€"
SMARTHIT,"IV LACTOFERRIN,",100,"24,59€","17,21€"
FRANK,"FRUITIES BOOST IMMUNITY, maisto papildas imunitetui, guminukai, N",80,"24,45€","22,00€"
FRANK,"FRUITIES KID‘S MULTI, maisto papildai vaikams nuo 4 metų, guminukai, N",60,"24,45€","17,24€"
IMMUNECO ,"kapsulės, N",30,"10,79€","9,09€"
BACK,"TO LIFE, milteliai geriamajam tirpalui, N",14,"19,99€","6,29€"
FJORD,"STRONG OMEGA-3 SMART GUMMIES, žuvų taukai,",45,"18,99€","22,79€"
VIRIDIAN,"VIRIDIKID VITAMIN C DROPS, skystas vitaminas C,",50,"22,99€","17,99€"
VIRIDIAN,"THYROID COMPLEX,",60,"32,99€","19,79€"
WALMARK,"IMMUNITY BETA-GLUCAN COMPLEX,",30,"9,99€","11,99€"
ŠVF PERŠALIMO,"PERŠALIMO SEZONUI, vaikams, milteliai karštam gėrimui, N",10,"8,99€","14,39€"
VITA-LAB,"VITAMINAI AKIMS SU LIUTEINU,",90,"12,99€","2,82€"
VITA-LAB,"MULTIVITAMINAS, 12 komponentų,",90,"8,99€","2,82€"
ECOSH,"YOUNG & SMART,",90,"24,99€","2,82€"
ECOSH,"KVERCETINAS SU VITAMINO C KOMPLEKSU,",40,"23,99€","2,82€"
GAMTOS,"NAMAI BETA GLIUKANŲ IR VITAMINŲ KOMPLEKSAS,",90,"29,99€","5,09€"
GAMTOS,"NAMAI MULTIVIT 100%,",120,"32,99€",
GAMTOS,"NAMAI VITAMINAS C PROLONG,",90,"19,99€",
GAMTOS,"NAMAI BACTO KIDS,",60,"23,99€",
ACORUS,"BALANCE VITAMINUKAI, vitaminai šiaudeliuose su cinku miško uogų skonio, 6g, N",7,"3,53€",
ACORUS,"BALANCE VITAMINUKAI, vitaminai šiaudeliuose su cinku aviečių skonio, 6g, N",7,"3,53€",
ACORUS,"BALANCE VITAMINUKAI, vitaminai šiaudeliuose su cinku apelsinų skonio, 6g, N",7,"3,53€",
ACORUS,"BALANCE VITAMINUKAI, vitaminai šiaudeliuose su cinku obuolių skonio, 6g, N",7,"3,53€",
GAMTOS,"NAMAI VITAMINAS C PROLONG 1000 PREMIUM,",30,"8,49€",
Rutinas,"60 mg LIFEPLAN, grynas rutinas,",300,"19,99€","4,19€"
Maisto,"papildas „Hair Care Panda Vitaminai šeimai“, 300 g,",60,"27,49€",
VITADAY,"VITAMINAI GROŽIUI,",60,"5,98€",
MARSIEČIAI,"GUMINUKAI, su šaltalankiu,",50,"13,99€",
MOLLER’S,"FOR TEENS, 28 tabletės ir",28,"16,89€",
RAUDONI,"SKRUOSTUKAI,",30,"11,99€",
SVEIKAS,"KAIP RIDIKAS,",20,"11,99€",
LIFEPLAN,"SELENIUM BONUS, selenas su chromu ir vitaminais,",30,"7,05€",
LIFEPLAN,"SIBERIAN GINSENG, eleuterokokų ekstraktas su vitaminais ,",60,"13,79€",
LIFEPLAN,"EMPEROR GINSENG, kininis ženšenis su vitaminais,",60,"16,55€",
BIG PACK ,"PACK, tepalas su A + E vitaminais, maitinamasis,",60,"5,25€",
AMEDIPLUS,"vazelino kremas su vitaminais A ir E,",50,"2,29€",
Victoria,"Beauty kremas-koncentratas su sraigių sekretu ir vitaminais (B5, C, E),",50,"15,49€",
VICHY,"DERMABLEND 3D, koreguojamasis makiažo pagrindas, SPF25, Nr.15,",30,"28,99€",
VICHY,"DERMABLEND 3D, koreguojamasis makiažo pagrindas, SPF25, Nr.35,",30,"28,99€",
MICROLIFE,AD-,1024,"11,99€",
DALACIN,"C, 300 mg, kietosios kapsulės, N",16,"8,32€",
STREPSILS,"VITAMIN C, 1,2 mg/0,6 mg/100 mg, kietosios pastilės, N",24,"7,66€",
LIFEPLAN,"EYE C, kompleksas akims,",60,"18,16€",
LORINDEN,"C, 0,2/30 mg/g, tepalas,",15,"3,61€",
DR. SCHEFFLER,"SCHEFFLER VITAMINAS C ZITRONE,",20,"5,49€",
DR. SCHEFFLER,"SCHEFFLER ADDITIVA VITAMINAS C BLUTORANGE,",20,"5,49€",
LIFEPLAN,"HAIR CARE, vitaminų kompleksas plaukams,",60,"11,95€",
MARTIDERM,"SKIN COMPLEX, veido ampulės su vitaminų ir antioksidantų kompleksu,",10,"48,99€",
OMRON,"C101, inhaliatorius, N",1,"67,32€","10,63€"
LIFEPLAN,"NIACINAS (VIT. B3) 250 mg,",90,"13,29€","30,74€"
JOWAÉ,"Vitamin-Rich, tonizuojantis drėkinamasis paakių gelis su kinkanų ekstraktu,",15,"19,30€","30,74€"
NOVEXPERT,"veido kaukė/šveitiklis su vitaminu C,",50,"27,99€","35,69€"
NOVEXPERT,"šveičiamasis naktinis veido kremas su vitaminu C ir glikolio bei pieno rūgštimis,",40,"43,99€","40,56€"
NOVEXPERT,"stangrinamasis paakių kremas su vitaminu C (pirmosioms mimikos raukšlėms),",15,"39,99€",
NOVEXPERT,"veido serumas su vitaminu C stipriai koncentruotas,",30,"54,85€",
INOCEL ,"sterilus, minkštas neaustinio pluošto tvarstis, 21 cm x 21 cm,",10,"203,33€",
CANPOL,"BABIES LUX, liemenėlė maitinančioms, 80D dydis, 26/",764,"12,91€",
DOPPELHERZ,"AKTIV ENERGIE PLUS DIRECT KOFFEIN + TAURIN + B-VITAMINE,",20,"8,99€",
TANNING,"MOUSSE CLEAR – SAVAIMINIO ĮDEGIO PUTOS-VANDUO, SKAIDRIOS,",200,"40,99€",
TANNING,"MOUSSE CLEAR – SAVAIMINIO ĮDEGIO PUTOS-VANDUO, SKAIDRIOS,",200,"40,99€",
PLACENTA,"VITAE, REGENERUOJANTI KAUKĖ NUO PLAUKŲ SLINKIMO,",250,"12,89€",
PLACENTA,"VITAE, MAITINAMASIS PLAUKŲ SERUMAS,",50,"12,19€",
DENTISSIMO,"VEGAN AND VITAMIN B12, dantų pasta,",75,"14,10€",
SKINGAIN™,"original hidrolizuotas I ir II tipo kolagenas su vitaminu C,",30,"41,99€",
LIFEPLAN,"VITAMINAS B1 100 mg, tabletės N",90,"11,99€",
LR wonder,"wonder company micelinis vanduo su viatminu C, hialurono rūgštimi, ramunėlių vandeniu .",200,"16,49€",
LR wonder,"wonder company veido prausiklis su hialurono rūgštimi, vitaminu C, rugiagėliu vandeniu,",200,"16,49€",
LR wonder,"wonder company veido tonikas su hialurono rūgštimi, vitaminu C, kivių vandeniu.",200,"13,99€",
ORAL-B,"VITALITY D100 + VITALITY STAR WARS, elektrinis dantų šepetėlis, 1+",1,"57,95€",
ACCARE,FS,20,"36,48€",
ACORUS,"BALANCE ENERGY + MAGNIS/VITAMINAS C, užkandis, 9 g,",5,"1,69€",
Helen,"Seward Synebi plaukams blizgesio suteikiantis šampūnas, dažnam plovimui su arganų aliejumi ir Vit E,",300,"12,99€",
Helen,"Seward Synebi plaukams blizgesio suteikianti kaukė dažnam plovimui su arganų aliejumi ir Vit E,",200,"15,99€","70,50€"
Dr. Brandt ,"Brandt, Veido serumas su Vitaminu C Dr. Brandt C Scription. 1.058 fl. oz. /",30,"124,99€","41,39€"
INSTITUT,"ESTHEDERM PARIS INTENSIVE VITAMIN E, veido serumas su vitaminu E,",30,"94,00€","27,36€"
LIERAC,"MESOLIFT C15, koncentratas, 15 ml,",2,"68,99€","30,96€"
Ziaja,"Med stangrinamasis dieninis veido kremas su vitaminu C,",50,"6,99€",
OMRON,C102 TOTAL 2IN,1,"75,02€",
YOPE,"Veido serumas su žaliosiomis slyvomis ir Ultra vitaminu C,",30,"32,19€",
OPTIPLASTE,"C, elastinis prilimpantis pleistras, 6 cm x 2,",5,"10,95€",
EARTH,"LINE Vitamin E Veido valiklis, visų tipų odai,",200,"16,95€",
EARTH,"LINE Vitamin E Veido losjonas, visų tipų odai,",200,"16,95€",
EARTH,"LINE Vitamin E Veido šveitiklis, visų tipų odai,",100,"16,95€",
EARTH,"LINE Vitamin E Dieninis ir naktinis kremas visų tipų odai,",100,"27,95€",
EARTH,"LINE Vitamin E Dieninis ir naktinis kremas visų tipų odai,",50,"18,95€",
EARTH,"LINE Vitamin E Paakių kremas, visų tipų odai,",35,"19,95€",
EARTH,"LINE Vitamin E Randų ir strijų aliejus visų tipų odai,",30,"16,95€",
EARTH,"LINE Vitamin E Vonios ir dušo žele visų tipų odai,",200,"16,95€",
EARTH,"LINE Vitamin E Balansuojamasis šampūnas visų tipų plaukams,",200,"16,95€",
EARTH,"LINE Multi Vitamin Atkuriamasis plaukų kremas, nenuplaunamas, visų tipų plaukams,",100,"14,95€",
Baboo,elektrinis pientraukis su,3,"99,99€",
EARTH,LINE Vitamin E Sunless Tanner Savaiminio įdegio kremas,100,"19,95€",
VITADAY,"MULTIVITAMINŲ KOMPLEKSAS,",60,"12,48€",
Tušas,blak. Golden Rose 3D Fantastic Lash,10,"7,49€",
Veido,"šveitiklis ""Bye bye blemish"" su vitaminu C,",120,"12,49€",
LA ROCHE-POSAY,"ROCHE-POSAY PUREVITAMIN C 10, serumas veidui,",30,"38,70€",
PHARMACERIS,"W ALBUCIN C, skaistinamasis serumas,",30,"27,99€","20,99€"
Miegui,gerinti PhD Life Reset Powder Juodo Šokolado Skonio,350,"16,00€","4,88€"
Golden,Rose Miss Beauty Diamond Shine 3d Lūpų blizgesys Nr.,1,"6,50€","4,88€"
Golden,Rose Miss Beauty Diamond Shine 3d Lūpų blizgesys Nr.,2,"6,50€","4,88€"
Golden,Rose Miss Beauty Diamond Shine 3d Lūpų blizgesys Nr.,3,"6,50€","16,89€"
D-LAB,kapsulės gryno keratino nagams ir plaukams,28,"41,99€","16,89€"
D-LAB,"Kapsulės, maisto papildas streso malšinimui",56,"28,99€","16,89€"
D-LAB,"Kapsulės, Maisto papildas prieš odos senėjimą",28,"41,99€","16,89€"
D-LAB,"Kapsulės, maisto papildas odos detoksikacijai",56,"26,99€","10,49€"
D-LAB,"Maisto papildų kompleksas, subalansuotai mitybai, Rinkinys.",0,"93,99€","10,49€"
GARNIER,"VITAMIN C, ampulė-lakštinė kaukė nuo nuovargio požymių,",15,"3,19€","10,49€"
L'Oreal,"D/E REVITALIFT FILLER [HA], dieninis veido kremas,",50,"25,99€","10,49€"
L'Oreal,"D/E REVITALIFT FILLER [HA], akių kremas,",15,"25,99€","10,49€"
L'Oreal,"D/E REVITALIFT LASER, dieninis veido kremas su SPF 20,",50,"25,99€","10,49€"
L'OREAL,"D/E REVITALIFT FILLER [HA], naktinis veido kremas,",50,"25,99€",
L'Oreal,"D/E REVITALIFT LASER, naktinis veido kremas,",50,"25,99€",
ELGON,"I CARE, dažantis kondicionierius, C/55 Deep Red, intensyvi raudona spalva,",200,"13,99€",
ELGON,"I CARE, dažantis kondicionierius, C/111 See Blue, juros mėlyna spalva,",200,"13,99€",
ELGON,"I CARE, dažantis kondicionierius, C/991 Mineral Green, žalia mineralų spalva,",200,"13,99€",
ELGON,"I CARE, dažantis kondicionierius, C/56 Ruby Red, rubino (bordo) spalva,",200,"13,99€",
ELGON,"I CARE, dažantis kondicionierius, C/17 White Platinum, platininė balta spalva,",200,"13,99€",
ELGON,"I CARE, dažantis kondicionierius, C/3 Extra Light Gold, šviesaus aukso spalvos,",200,"13,99€",
PRIMA ,"C-Reaktyvinio baltymo nustatymo testas, N",1,"13,99€",
VITADAY,"ŠALTALANKŲ ALIEJUS,",100,"9,98€",
ELGON,"I CARE, dažantis kondicionierius, C/34 Copper Golden, auksinė vario spalva,",200,"13,99€","10,49€"
ELGON,"I CARE, dažantis kondicionierius, C/6 Mahogany, rusvai raudona spalva,",200,"13,99€","10,49€"
ELGON,"LINK-D BOND KEEPER Nr. 3, profesionali plaukų atkūrimo ir stiprinimo priemonė visų tipų plaukams,",100,"13,00€","9,75€"
ELGON,"LINK-D BOND SEALER NR. 4, apsauginis serumas plaukams,",50,"13,00€","9,75€"
ISDIN,"FLAVO-C, odą skaistinančios ampulės su vitaminu C ir ultraglikanais , 2 ml x",10,"29,40€","20,58€"
VICHY,"LIFTACTIV SUPREME VITAMIN C, serumas,",20,"48,45€","13,59€"
Cellucor,C4 Original,195,"30,00€",
Cellucor,C4 Original,195,"30,00€",
Cellucor,C4 Original,195,"30,00€",
Cellucor,C4 Original,195,"30,00€",
Cellucor,C4 Original,195,"30,00€",
Cellucor,C4 Original,195,"30,00€",
Cellucor,C4 Original,390,"46,00€",
Cellucor,C4 Original,390,"46,00€",
Cellucor,C4 Original,390,"46,00€",
Cellucor,C4 Original,390,"46,00€",
Cellucor,C4 Original,390,"46,00€",
Cellucor,C4 Original,390,"46,00€",
Cellucor,C4 Original,390,"46,00€",
Cellucor,C4 Original,390,"46,00€",
PRIMA,"VITAMIN D TEST, Vitamino D trūkumo testas (kraujyje), N",1,"16,95€",
DALACIN,"C, 300 mg, kietosios kapsulės, (l.imp.), N",16,"8,19€",
D-CURE ,"25 000TV, geriamasis tirpalas, (l.imp), N",12,"16,85€",
BIONIKE,"TRIDERM D.S., intensyvaus poveikio šampūnas, seborėjinio dermatito paveiktai galvos odai,",125,"16,99€",
Proto-col,„Vitamin D,3,"6,89€","5,24€"
JUTAVIT,"KOLAGENO + HIALURONO KOMPLEKSAS BRAŠKĖ,",400,"28,99€","16,89€"
STREPHERBALTM,"HONEY FLAVOUR & LEMON BALM MAISTO PAPILDAS SU SALDIKLIAIS, PROPOLIS SU VITAMINU C IR CINKU IMUNITETO STIPRINIMUI,",24,"7,49€","12,99€"
CLINIC,"WAY, veidą stangrinanti kaukė su lipidais ir vitaminu E,",50,"33,99€","12,99€"
L'OREAL,"D/E REVITALIFT LASER, serumas,",30,"25,99€","14,62€"
GARNIER,"VITAMIN C, valomasis gelis su vitaminu C",0,"6,99€","14,62€"
GARNIER,"VITAMIN C, drėkinantis gelis su vitaminu C",0,"6,99€","37,49€"
L'OREAL,"TRUE MATCH, 2R2C",2,"19,99€","37,49€"
L'OREAL,"TRUE MATCH, 7D",7,"19,99€","10,12€"
PHARMACERIS,"V,VITI MELO DAY, apsauginis kremas, SPF50,",75,"19,50€","14,29€"
PHARMACERIS,"V,VITI MELO NIGHT, naktinis kremas,",40,"19,50€","14,99€"
SESDERMA,"C-VIT, paakių kontūro kremas,",15,"24,99€",
SESDERMA,"C-VIT, liposominis serumas,",30,"40,99€",
SESDERMA,"C-VIT, švytėjimo suteikiantis fluidas,",50,"40,99€",
SESDERMA,"C-VIT, intensyvaus serumo ampulės, 1,5ml, N",10,"24,99€",
SEPTONA ,"drėgnos servetėlės makiažui valyti su vitaminu C ir miceline technologija,",20,"2,69€",
SAVAIMINIO,ĮDEGIO SERUMAS SU VITAMINU C IR HIALURONU,30,"49,99€",
VITAMIN,"B12-LOGES, 1000 mikrogramų/2 ml, injekcinis tirpalas, N",10,"16,85€",
DANGIŠKAS,"SAVAIMINIO ĮDEGIO ELIKSYRAS BALTA TEKSTŪRA MEDIUM,",150,"49,99€",
MEDB,"Vitamin C 24H Protect Sun apsauginis kremas nuo saulės, SPF50,",70,"16,90€",
TESTERA,"VITAMIN D TEST, greitasis testas, vitamino D, N",1,"7,65€",
VIRIDIAN,"HIGH POTENCY VITAMIN B3,",30,"13,49€",
L'OREAL,"PARIS REVITALIFT CLINICAL, vitamino C serumas,",30,"21,99€",
ELGON,"LINK-D BOND NOURISHING DRY OIL N. 5, nenuplaunamas sausas aliejus plaukams,",30,"19,99€",
VITA-LAB,"MELATONINAS, 1 mg,",90,"7,99€","5,59€"
VITA-LAB,"BIOTINAS, 10000 µg,",90,"9,99€","6,99€"
VITA-LAB,"MAGNIS + B6 + CHROMAS,",90,"8,99€","6,29€"
VITA-LAB,"GUDOBELĖ 600 SU MAGNIU,",90,"8,99€","6,29€"
VITA-LAB,"GLIUKOZAMINAS 1500, CHONDROITINAS IR MSM,",90,"8,99€","6,29€"
VITA-LAB,"MELATONINAS, 2 mg,",90,"9,99€","6,99€"
ECOSH,"CINKAS SU VITAMINU C, skystas,",100,"21,99€","20,89€"
UNIKALK,"CALCIUM CITRATE COMPLEX, su vitaminu D,",90,"19,99€","20,91€"
UNIKALK,"CALCIUM FORTE, su vitaminu D, citrinų skonio,",90,"15,99€","20,91€"
MIXA,"NIACINAMIDE GLOW, spindesio suteikiantis drėkinamasis kremas su niacinamidu ir vitaminu C,",50,"11,99€","3,84€"
„Timeless™“,VITAMIN B,5,"34,85€","6,44€"
„Timeless™“,"HIALURONO RŪGŠTIS + VITAMINO C serumas. Šviesina, skaistina ir lygina odą.",0,"34,85€",
MAGNIS,"+ VITAMINAS B6,",50,"8,99€",
ISDIN,"ISDINCEUTICS FLAVO-C FORTE, skaistinamasis veido serumas su vitaminu C 15 %, 3 ml x",3,"72,99€",
VITADAY,"KOMPLEKSAS AKIMS,",30,"5,48€",
NOUGHTY,"Back To Balance šampūnas riebiai galvos odai su arbatmedžiu ir vitaminu B5,",250,"9,99€",
5C Cure,"Cure lakštinė veido kaukė su braškių ekstraktu,",1,"2,29€",
5C Cure,"Cure lakštinė veido kaukė su bananų ekstraktu,",1,"2,29€",
5C Cure,"Cure lakštinė veido kaukė su kokosų ekstraktu,",1,"2,29€",
5C Cure,"Cure lakštinė veido kaukė su avokadų ekstraktu,",1,"2,29€",
5C Cure,"Cure lakštinė veido kaukė su mėlynių ekstraktu,",1,"2,29€",
5C Cure,"Cure lakštinė veido kaukė su mangų ekstraktu,",1,"2,29€",
DVIPUSĖ,PIRŠTINĖ ĮDEGIUI PASKIRSTYTI,1,"8,59€",
VITADAY,"CHOLESTEROLIUI MAŽINTI SU ČESNAKU,",30,"8,98€",
SESDERMA,"C-VIT 5, liposominis veido serumas,",30,"67,99€","15,99€"
Kūno,"balzamas Ziaja Vitamin C.B3 Niacinamide,",200,"9,99€",
Serumas,"Ziaja Vitamin C.B3 Niacinamide,",30,"8,99€",
Veido,"šveitiklis Ziaja Vitamin C.B3 Niacinamide,",100,"8,99€",
Valomasis,"veido gelis Ziaja Vitamin C.B3 Niacinamide,",190,"8,99€",
Veido,"tonikas Ziaja Vitamin C.B3 Niacinamide,",120,"8,99€",
Dieninis,"veido kremas Ziaja Vitamin C.B3 Niacinamide,",50,"8,99€",
Naktinis,"veido kremas Ziaja Vitamin C.B3 Niacinamide,",50,"8,99€",
Veido,"tonikas Ziaja Vitamin C.B3 Niacinamide,",190,"8,99€",
VITADAY,"KORVALOLIS,",25,"4,98€",
VITADAY,"ŠALTALANKIŲ ALIEJUS,",50,"7,48€",
LIFEPLAN,"RELAXON, 5-HTP kompleksas,",60,"15,63€",
LIFEPLAN,"EVENING PRIMROSE OIL, 1000 mg, nakvišų aliejus,",90,"19,99€",
CURCUMIN,"500, LIFEPLAN SUPER HERBS, kurkuminas,",60,"22,22€",
EQUA,"gertuvė MONSTERA 550 ml, stiklinė,",1,"23,00€",
EQUA,"gertuvė MISMATCH 217 WHITE 750 ml, stiklinė,",1,"23,00€",
EQUA,"gertuvė MISMATCH ROSE GOLD 750ML,",1,"25,00€",
EQUA,"gertuvė ACTIVE WHITE, stiklinė,",1,"23,00€",
EQUA,"gertuvė ESPRIT FEATHER, stiklinė,",1,"23,00€",
EQUA,"gertuvė ACTIVE PEACH, stiklinė,",1,"23,00€",
EQUA,"gertuvė MISMATCH GRAPHITE, stiklinė,",1,"25,00€",
EQUA,"gertuvė URBAN JUNGLE MAGNOLIA, stiklinė,",1,"23,00€",
VITELLA,"ZN, kremas,",75,"12,69€",
CALCIGRAN ,"500 mg/200 TV, kramtomosios tabletės, N",100,"10,24€",
DICLOVIT ,"kietosios kapsulės, N",50,"7,54€","11,99€"
ROYAL,"GREEN BONE FOOD, kompleksas kaulams,",60,"34,86€",
ROYAL,"GREEN BIO MAGNIS,",60,"27,59€",
BUBI,"ekologiška GERTUVĖ, rožinė, susukama,",414,"19,95€",
BUBI,"ekologiška GERTUVĖ, violetinė, susukama,",414,"19,95€",
BUBI,"ekologiška GERTUVĖ, oranžinė, susukama,",414,"19,95€",
DISPOBANO,"Šampūnas ir dušo želė,",1000,"7,99€",
DISPOBANO,"Kūno pienelis,",1000,"14,50€",
KABRITA ,"ryžių košė su ožkos pienu vaikams nuo 4 mėn.,",180,"10,88€",
DISPOFOAM,"ONE KEMPINĖ PRAUSIMOSI ,",1,"0,99€",
GINKGO,"BILOBA 120 mg LIFEPLAN, ginkmedžių ekstraktas,",30,"9,20€",
EQUA,"išmanioji termo gertuvė SMART SNOW WHITE, nerūdijantis plienas,",1,"83,39€",
EQUA,"termo gertuvė TERMO PINK BLUSH, nerūdijantis plienas,",1,"44,99€",
EQUA,"gertuvė MISMATCH STONE, stiklas,",1,"25,00€",
EQUA,"gertuvė MISMATCH COOKIE, stiklas,",1,"25,00€",
EQUA,"gertuvė OCEAN 600 ml, pastikinė,",1,"13,00€",
LR wonder,"wonder company tonizuojanti, stangrinanti veido kaukė,",15,"3,09€",
LR wonder,wonder company įdegį skatinantis aliejus,200,"13,09€",
HairBurst,"maisto papildas, guminukai plaukams,",60,"28,69€",
BOMBUS,"RAW ENERGY batonėlis su marakuja ir kokosu, 50 g x",20,"27,99€",
BOMBUS,"RAW ENERGY batonėlis su sūdyta karamele, 50 g x",20,"27,99€",
MAGNEVIT,"šnypščiančios tabletės, N",20,"10,99€",
LIFEPLAN,"MENOPAUSE COMPLETE, kompleksas moterims menopauzės laikotarpiui,",30,"14,99€",
MARTIS,RESPECT ilgalaikiai plaukų dažai be amoniako Nr.,1,"13,99€",
